lon,lat,vs30,z1pt0,z2pt5,vs30measured
76.52521,42.53569,4.608762E+02,2.779609E+02,1.075407E+00,0
76.52543,42.54469,4.449997E+02,2.984370E+02,1.119412E+00,0
76.52565,42.55369,4.369821E+02,3.087926E+02,1.142939E+00,0
76.52587,42.56270,4.574505E+02,2.823675E+02,1.084626E+00,0
76.52609,42.57170,4.854211E+02,2.468225E+02,1.013430E+00,0
76.52630,42.58070,4.803898E+02,2.531243E+02,1.025582E+00,0
76.52652,42.58970,4.926349E+02,2.378821E+02,9.964710E-01,0
76.52674,42.59871,5.048511E+02,2.230391E+02,9.689352E-01,0
76.52696,42.60771,5.003224E+02,2.284946E+02,9.789749E-01,0
76.52718,42.61671,5.246346E+02,1.999504E+02,9.272510E-01,0
76.52740,42.62572,5.804866E+02,1.427297E+02,8.259148E-01,0
76.52762,42.63472,7.992925E+02,3.122653E+01,5.728200E-01,0
76.52784,42.64372,9.000000E+02,1.545801E+01,5.001037E-01,0
76.52807,42.65272,8.018152E+02,3.067259E+01,5.707588E-01,0
76.52829,42.66172,4.144267E+02,3.376731E+02,1.214377E+00,0
76.52851,42.67073,4.405064E+02,3.042423E+02,1.132485E+00,0
76.52873,42.67973,6.208066E+02,1.096139E+02,7.648413E-01,0
76.52895,42.68873,6.755486E+02,7.522845E+01,6.943626E-01,0
76.52917,42.69773,6.944609E+02,6.585248E+01,6.727728E-01,0
76.52939,42.70674,6.511970E+02,8.911646E+01,7.241465E-01,0
76.52961,42.71574,7.736849E+02,3.746590E+01,5.945608E-01,0
76.52983,42.72474,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53005,42.73374,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53027,42.74275,8.138187E+02,2.817265E+01,5.611383E-01,0
76.53050,42.75175,6.705056E+02,7.793076E+01,7.003404E-01,0
76.53072,42.76075,8.902613E+02,1.652486E+01,5.063671E-01,0
76.53094,42.76975,3.965861E+02,3.599146E+02,1.277072E+00,0
76.53116,42.77875,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53138,42.78776,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53161,42.79676,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53183,42.80576,8.654643E+02,1.961238E+01,5.229985E-01,0
76.53205,42.81476,8.809861E+02,1.761437E+01,5.124707E-01,0
76.53227,42.82377,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53249,42.83277,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53272,42.84177,5.846740E+02,1.389655E+02,8.191511E-01,0
76.53294,42.85077,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53316,42.85977,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53338,42.86878,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53361,42.87778,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53383,42.88678,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53405,42.89578,8.691129E+02,1.912200E+01,5.204875E-01,0
76.53428,42.90478,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53450,42.91379,7.081290E+02,5.977663E+01,6.579378E-01,0
76.53472,42.92279,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53495,42.93179,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53517,42.94079,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53539,42.94979,8.099213E+02,2.896035E+01,5.642284E-01,0
76.53562,42.95880,8.581860E+02,2.063087E+01,5.280761E-01,0
76.53584,42.96780,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53607,42.97680,8.885145E+02,1.672441E+01,5.075064E-01,0
76.53629,42.98580,7.478016E+02,4.506323E+01,6.181614E-01,0
76.53652,42.99480,7.454810E+02,4.581562E+01,6.203634E-01,0
76.53674,43.00381,6.463170E+02,9.216281E+01,7.304050E-01,0
76.53696,43.01281,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53719,43.02181,8.921688E+02,1.630985E+01,5.051287E-01,0
76.53741,43.03081,8.447898E+02,2.265440E+01,5.376665E-01,0
76.53764,43.03981,7.822230E+02,3.525517E+01,5.871421E-01,0
76.53786,43.04881,7.802490E+02,3.575418E+01,5.888418E-01,0
76.53809,43.05782,7.303924E+02,5.102095E+01,6.350458E-01,0
76.53831,43.06682,5.586531E+02,1.635754E+02,8.629447E-01,0
76.53854,43.07582,6.305708E+02,1.026252E+02,7.513083E-01,0
76.53876,43.08482,6.443596E+02,9.341039E+01,7.329439E-01,0
76.53899,43.09382,6.639771E+02,8.156145E+01,7.082235E-01,0
76.53921,43.10282,7.328451E+02,5.013668E+01,6.326152E-01,0
